Date,SKU,Product Name,City,Sales
2025-01-01,F001,Prateek England,Mumbai,23
2025-01-01,F002,Lucy Phillepe,Mumbai,75
2025-01-01,F003,Badlands,Mumbai,33
2025-01-01,F004,Allen Dolly,Mumbai,3
2025-01-01,F005,Bucchi,Mumbai,3
2025-01-01,M001,Jhaomi,Mumbai,7
2025-01-01,M002,Samson,Mumbai,2
2025-01-01,M003,Mokia,Mumbai,41
2025-01-01,M004,Hotorola,Mumbai,3
2025-01-01,M005,2plus,Mumbai,11
2025-01-01,B001,Harry putar,Mumbai,85
2025-01-01,B002,4 states,Mumbai,60
2025-01-01,B003,Shaktiman Returns,Mumbai,9
2025-01-01,B004,Goli's Travel,Mumbai,20
2025-01-01,B005,Story of Your Life,Mumbai,115
2025-01-01,V001,Prince of Dholakpur,Mumbai,42
2025-01-01,V002,Nario,Mumbai,95
2025-01-01,V003,Pacman,Mumbai,120
2025-01-01,V004,LTA Wise City,Mumbai,40
2025-01-01,V005,HIFA 2023,Mumbai,44
2025-01-01,S001,Abibas Football,Mumbai,0
2025-01-01,S002,Rural Terrain Cycles,Mumbai,13
2025-01-01,S003,Monex Badminton Rackets,Mumbai,1
2025-01-01,S004,Yoga Mattress,Mumbai,15
2025-01-01,S005,Rocky Gym Set,Mumbai,31
2025-01-01,ME001,Pyllum Trimmers,Mumbai,3
2025-01-01,ME002,Softcare Electric Toothbrush,Mumbai,7
2025-01-01,ME003,Leg Messager,Mumbai,21
2025-01-01,ME004,NoFat Weighing Scale,Mumbai,0
2025-01-01,ME005,Screw Activity Watch,Mumbai,10
2025-01-01,K001,SureIt Purifier,Mumbai,11
2025-01-01,K002,Parrot Induction Stove,Mumbai,24
2025-01-01,K003,Jalepenoware Tiffin,Mumbai,23
2025-01-01,K004,Yamaka Rex 5000W Mixer Grinder,Mumbai,39
2025-01-01,K005,Mr.Clean Dishwasher,Mumbai,13
2025-01-01,H001,Blessing Atta 10kg pack,Mumbai,203
2025-01-01,H002,Amazing CornFlakes,Mumbai,106
2025-01-01,H003,Tata Yellow Label,Mumbai,2
2025-01-01,H004,Descafe Gold Blend coffee,Mumbai,85
2025-01-01,H005,Handmade Basmati Rice,Mumbai,107
2025-01-01,P001,Podigree Dog Food,Mumbai,117
2025-01-01,P002,Matty Dog Bed,Mumbai,56
2025-01-01,P003,Park Range Pet Shampoo,Mumbai,81
2025-01-01,P004,Old Mint Pet Shampoos,Mumbai,21
2025-01-01,P005,Reflective Dog RainCoat,Mumbai,108
2025-01-01,G001,Crafting Chandlar,Mumbai,35
2025-01-01,G002,Desi Kurti,Mumbai,94
2025-01-01,G003,Family Cake and Card Combo,Mumbai,32
2025-01-01,G004,Exact Flower Vase,Mumbai,106
2025-01-01,G005,Friends Dinner Set,Mumbai,63
2025-01-02,F001,Prateek England,Mumbai,69
2025-01-02,F002,Lucy Phillepe,Mumbai,16
2025-01-02,F003,Badlands,Mumbai,28
2025-01-02,F004,Allen Dolly,Mumbai,27
2025-01-02,F005,Bucchi,Mumbai,45
2025-01-02,M001,Jhaomi,Mumbai,38
2025-01-02,M002,Samson,Mumbai,31
2025-01-02,M003,Mokia,Mumbai,49
2025-01-02,M004,Hotorola,Mumbai,48
2025-01-02,M005,2plus,Mumbai,4
2025-01-02,B001,Harry putar,Mumbai,2
2025-01-02,B002,4 states,Mumbai,20
2025-01-02,B003,Shaktiman Returns,Mumbai,74
2025-01-02,B004,Goli's Travel,Mumbai,55
2025-01-02,B005,Story of Your Life,Mumbai,0
2025-01-02,V001,Prince of Dholakpur,Mumbai,74
2025-01-02,V002,Nario,Mumbai,24
2025-01-02,V003,Pacman,Mumbai,28
2025-01-02,V004,LTA Wise City,Mumbai,72
2025-01-02,V005,HIFA 2023,Mumbai,34
2025-01-02,S001,Abibas Football,Mumbai,29
2025-01-02,S002,Rural Terrain Cycles,Mumbai,4
2025-01-02,S003,Monex Badminton Rackets,Mumbai,14
2025-01-02,S004,Yoga Mattress,Mumbai,6
2025-01-02,S005,Rocky Gym Set,Mumbai,2
2025-01-02,ME001,Pyllum Trimmers,Mumbai,4
2025-01-02,ME002,Softcare Electric Toothbrush,Mumbai,7
2025-01-02,ME003,Leg Messager,Mumbai,10
2025-01-02,ME004,NoFat Weighing Scale,Mumbai,6
2025-01-02,ME005,Screw Activity Watch,Mumbai,19
2025-01-02,K001,SureIt Purifier,Mumbai,18
2025-01-02,K002,Parrot Induction Stove,Mumbai,27
2025-01-02,K003,Jalepenoware Tiffin,Mumbai,2
2025-01-02,K004,Yamaka Rex 5000W Mixer Grinder,Mumbai,9
2025-01-02,K005,Mr.Clean Dishwasher,Mumbai,8
2025-01-02,H001,Blessing Atta 10kg pack,Mumbai,199
2025-01-02,H002,Amazing CornFlakes,Mumbai,131
2025-01-02,H003,Tata Yellow Label,Mumbai,4
2025-01-02,H004,Descafe Gold Blend coffee,Mumbai,119
2025-01-02,H005,Handmade Basmati Rice,Mumbai,4
2025-01-02,P001,Podigree Dog Food,Mumbai,21
2025-01-02,P002,Matty Dog Bed,Mumbai,12
2025-01-02,P003,Park Range Pet Shampoo,Mumbai,106
2025-01-02,P004,Old Mint Pet Shampoos,Mumbai,45
2025-01-02,P005,Reflective Dog RainCoat,Mumbai,24
2025-01-02,G001,Crafting Chandlar,Mumbai,74
2025-01-02,G002,Desi Kurti,Mumbai,42
2025-01-02,G003,Family Cake and Card Combo,Mumbai,82
2025-01-02,G004,Exact Flower Vase,Mumbai,23
2025-01-02,G005,Friends Dinner Set,Mumbai,120
2025-01-03,F001,Prateek England,Mumbai,40
2025-01-03,F002,Lucy Phillepe,Mumbai,66
2025-01-03,F003,Badlands,Mumbai,57
2025-01-03,F004,Allen Dolly,Mumbai,47
2025-01-03,F005,Bucchi,Mumbai,1
2025-01-03,M001,Jhaomi,Mumbai,35
2025-01-03,M002,Samson,Mumbai,1
2025-01-03,M003,Mokia,Mumbai,24
2025-01-03,M004,Hotorola,Mumbai,29
2025-01-03,M005,2plus,Mumbai,40
2025-01-03,B001,Harry putar,Mumbai,74
2025-01-03,B002,4 states,Mumbai,35
2025-01-03,B003,Shaktiman Returns,Mumbai,134
2025-01-03,B004,Goli's Travel,Mumbai,11
2025-01-03,B005,Story of Your Life,Mumbai,142
2025-01-03,V001,Prince of Dholakpur,Mumbai,6
2025-01-03,V002,Nario,Mumbai,184
2025-01-03,V003,Pacman,Mumbai,80
2025-01-03,V004,LTA Wise City,Mumbai,30
2025-01-03,V005,HIFA 2023,Mumbai,162
2025-01-03,S001,Abibas Football,Mumbai,25
2025-01-03,S002,Rural Terrain Cycles,Mumbai,21
2025-01-03,S003,Monex Badminton Rackets,Mumbai,26
2025-01-03,S004,Yoga Mattress,Mumbai,22
2025-01-03,S005,Rocky Gym Set,Mumbai,16
2025-01-03,ME001,Pyllum Trimmers,Mumbai,10
2025-01-03,ME002,Softcare Electric Toothbrush,Mumbai,9
2025-01-03,ME003,Leg Messager,Mumbai,23
2025-01-03,ME004,NoFat Weighing Scale,Mumbai,9
2025-01-03,ME005,Screw Activity Watch,Mumbai,14
2025-01-03,K001,SureIt Purifier,Mumbai,1
2025-01-03,K002,Parrot Induction Stove,Mumbai,9
2025-01-03,K003,Jalepenoware Tiffin,Mumbai,9
2025-01-03,K004,Yamaka Rex 5000W Mixer Grinder,Mumbai,11
2025-01-03,K005,Mr.Clean Dishwasher,Mumbai,23
2025-01-03,H001,Blessing Atta 10kg pack,Mumbai,20
2025-01-03,H002,Amazing CornFlakes,Mumbai,41
2025-01-03,H003,Tata Yellow Label,Mumbai,78
2025-01-03,H004,Descafe Gold Blend coffee,Mumbai,114
2025-01-03,H005,Handmade Basmati Rice,Mumbai,41
2025-01-03,P001,Podigree Dog Food,Mumbai,18
2025-01-03,P002,Matty Dog Bed,Mumbai,34
2025-01-03,P003,Park Range Pet Shampoo,Mumbai,2
2025-01-03,P004,Old Mint Pet Shampoos,Mumbai,11
2025-01-03,P005,Reflective Dog RainCoat,Mumbai,6
2025-01-03,G001,Crafting Chandlar,Mumbai,23
2025-01-03,G002,Desi Kurti,Mumbai,57
2025-01-03,G003,Family Cake and Card Combo,Mumbai,40
2025-01-03,G004,Exact Flower Vase,Mumbai,89
2025-01-03,G005,Friends Dinner Set,Mumbai,79
2025-01-04,F001,Prateek England,Mumbai,13
2025-01-04,F002,Lucy Phillepe,Mumbai,14
2025-01-04,F003,Badlands,Mumbai,89
2025-01-04,F004,Allen Dolly,Mumbai,1
2025-01-04,F005,Bucchi,Mumbai,28
2025-01-04,M001,Jhaomi,Mumbai,43
2025-01-04,M002,Samson,Mumbai,41
2025-01-04,M003,Mokia,Mumbai,0
2025-01-04,M004,Hotorola,Mumbai,50
2025-01-04,M005,2plus,Mumbai,20
2025-01-04,B001,Harry putar,Mumbai,63
2025-01-04,B002,4 states,Mumbai,31
2025-01-04,B003,Shaktiman Returns,Mumbai,27
2025-01-04,B004,Goli's Travel,Mumbai,15
2025-01-04,B005,Story of Your Life,Mumbai,46
2025-01-04,V001,Prince of Dholakpur,Mumbai,193
2025-01-04,V002,Nario,Mumbai,1
2025-01-04,V003,Pacman,Mumbai,88
