,Date,SKU,Product Name,City,Sales,Description,Category,Price
0,2025-01-01,F001,Prateek England,Mumbai,23,Prateek England,Fashion ,1104
1,2025-01-01,F002,Lucy Phillepe,Mumbai,75,Lucy Phillepe,Fashion ,2485
2,2025-01-01,F003,Badlands,Mumbai,33,Badlands,Fashion ,1425
3,2025-01-01,F004,Allen Dolly,Mumbai,3,Allen Dolly,Fashion ,2640
4,2025-01-01,F005,Bucchi,Mumbai,3,Bucchi,Fashion ,11299
5,2025-01-01,M001,Jhaomi,Mumbai,7,Jhaomi,Mobiles,32400
6,2025-01-01,M002,Samson,Mumbai,2,Samson,Mobiles,20750
7,2025-01-01,M003,Mokia,Mumbai,41,Mokia,Mobiles,12600
8,2025-01-01,M004,Hotorola,Mumbai,3,Hotorola,Mobiles,55000
9,2025-01-01,M005,2plus,Mumbai,11,2plus,Mobiles,39760
10,2025-01-01,B001,Harry putar,Mumbai,85,Harry putar ,Books,2610
11,2025-01-01,B002,4 states,Mumbai,60,4 states ,Books,892
12,2025-01-01,B003,Shaktiman Returns,Mumbai,9,Shaktiman Returns,Books,262
13,2025-01-01,B004,Goli's Travel,Mumbai,20,Goli's Travel,Books,540
14,2025-01-01,B005,Story of Your Life,Mumbai,115,Story of Your Life,Books,940
15,2025-01-01,V001,Prince of Dholakpur,Mumbai,42,Prince of Dholakpur,Video Games ,1222
16,2025-01-01,V002,Nario,Mumbai,95,Nario,Video Games ,610
17,2025-01-01,V003,Pacman,Mumbai,120,Pacman,Video Games ,112
18,2025-01-01,V004,LTA Wise City,Mumbai,40,LTA Wise City,Video Games ,3000
19,2025-01-01,V005,HIFA 2023,Mumbai,44,HIFA 2023,Video Games ,2394
20,2025-01-01,S001,Abibas Football,Mumbai,0,Abibas Football ,Sports / Fitness,3150
21,2025-01-01,S002,Rural Terrain Cycles,Mumbai,13,Rural Terrain Cycles,Sports / Fitness,13559
22,2025-01-01,S003,Monex Badminton Rackets,Mumbai,1,Monex Badminton Rackets,Sports / Fitness,5400
23,2025-01-01,S004,Yoga Mattress,Mumbai,15,Yoga Mattress,Sports / Fitness,621
24,2025-01-01,S005,Rocky Gym Set,Mumbai,31,Rocky Gym Set,Sports / Fitness,14250
25,2025-01-01,ME001,Pyllum Trimmers,Mumbai,3,Pyllum Trimmers,Medicines/Healthcare,1740
26,2025-01-01,ME002,Softcare Electric Toothbrush,Mumbai,7,Softcare Electric Toothbrush,Medicines/Healthcare,1680
27,2025-01-01,ME003,Leg Messager,Mumbai,21,Leg Messager,Medicines/Healthcare,20900
28,2025-01-01,ME004,NoFat Weighing Scale,Mumbai,0,NoFat Weighing Scale,Medicines/Healthcare,747
29,2025-01-01,ME005,Screw Activity Watch,Mumbai,10,Screw Activity Watch,Medicines/Healthcare,1302
30,2025-01-01,K001,SureIt Purifier,Mumbai,11,SureIt Purifier,Kitchen ,4200
31,2025-01-01,K002,Parrot Induction Stove,Mumbai,24,Parrot Induction Stove,Kitchen ,2415
32,2025-01-01,K003,Jalepenoware Tiffin,Mumbai,23,Jalepenoware Tiffin,Kitchen ,424
33,2025-01-01,K004,Yamaka Rex 5000W Mixer Grinder,Mumbai,39,Yamaka Rex 5000W Mixer Grinder,Kitchen ,945
34,2025-01-01,K005,Mr.Clean Dishwasher,Mumbai,13,Mr.Clean Dishwasher,Kitchen ,16140
35,2025-01-01,H001,Blessing Atta 10kg pack,Mumbai,203,Blessing Atta 10kg pack,Household  ,459
36,2025-01-01,H002,Amazing CornFlakes,Mumbai,106,Amazing CornFlakes,Household  ,178
37,2025-01-01,H003,Tata Yellow Label,Mumbai,2,Tata Yellow Label,Household  ,677
38,2025-01-01,H004,Descafe Gold Blend coffee,Mumbai,85,Descafe Gold Blend coffee,Household  ,516
39,2025-01-01,H005,Handmade Basmati Rice,Mumbai,107,Handmade Basmati Rice,Household  ,664
40,2025-01-01,P001,Podigree Dog Food,Mumbai,117,Podigree Dog Food,Pet Supplies,1498
41,2025-01-01,P002,Matty Dog Bed,Mumbai,56,Matty Dog Bed,Pet Supplies,5950
42,2025-01-01,P003,Park Range Pet Shampoo,Mumbai,81,Park Range Pet Shampoo,Pet Supplies,1196
43,2025-01-01,P004,Old Mint Pet Shampoos,Mumbai,21,Old Mint Pet Shampoos,Pet Supplies,1140
44,2025-01-01,P005,Reflective Dog RainCoat,Mumbai,108,Reflective Dog RainCoat,Pet Supplies,2688
45,2025-01-01,G001,Crafting Chandlar,Mumbai,35,Crafting Chandlar ,Gifting,1376
46,2025-01-01,G002,Desi Kurti,Mumbai,94,Desi Kurti,Gifting,2070
47,2025-01-01,G003,Family Cake and Card Combo,Mumbai,32,Family Cake and Card Combo,Gifting,1180
48,2025-01-01,G004,Exact Flower Vase,Mumbai,106,Exact Flower Vase,Gifting,4520
49,2025-01-01,G005,Friends Dinner Set,Mumbai,63,Friends Dinner Set,Gifting,5590
50,2025-01-02,F001,Prateek England,Mumbai,69,Prateek England,Fashion ,1104
51,2025-01-02,F002,Lucy Phillepe,Mumbai,16,Lucy Phillepe,Fashion ,2485
52,2025-01-02,F003,Badlands,Mumbai,28,Badlands,Fashion ,1425
53,2025-01-02,F004,Allen Dolly,Mumbai,27,Allen Dolly,Fashion ,2640
54,2025-01-02,F005,Bucchi,Mumbai,45,Bucchi,Fashion ,11299
55,2025-01-02,M001,Jhaomi,Mumbai,38,Jhaomi,Mobiles,32400
56,2025-01-02,M002,Samson,Mumbai,31,Samson,Mobiles,20750
57,2025-01-02,M003,Mokia,Mumbai,49,Mokia,Mobiles,12600
58,2025-01-02,M004,Hotorola,Mumbai,48,Hotorola,Mobiles,55000
59,2025-01-02,M005,2plus,Mumbai,4,2plus,Mobiles,39760
60,2025-01-02,B001,Harry putar,Mumbai,2,Harry putar ,Books,2610
61,2025-01-02,B002,4 states,Mumbai,20,4 states ,Books,892
62,2025-01-02,B003,Shaktiman Returns,Mumbai,74,Shaktiman Returns,Books,262
63,2025-01-02,B004,Goli's Travel,Mumbai,55,Goli's Travel,Books,540
64,2025-01-02,B005,Story of Your Life,Mumbai,0,Story of Your Life,Books,940
65,2025-01-02,V001,Prince of Dholakpur,Mumbai,74,Prince of Dholakpur,Video Games ,1222
66,2025-01-02,V002,Nario,Mumbai,24,Nario,Video Games ,610
67,2025-01-02,V003,Pacman,Mumbai,28,Pacman,Video Games ,112
68,2025-01-02,V004,LTA Wise City,Mumbai,72,LTA Wise City,Video Games ,3000
69,2025-01-02,V005,HIFA 2023,Mumbai,34,HIFA 2023,Video Games ,2394
70,2025-01-02,S001,Abibas Football,Mumbai,29,Abibas Football ,Sports / Fitness,3150
71,2025-01-02,S002,Rural Terrain Cycles,Mumbai,4,Rural Terrain Cycles,Sports / Fitness,13559
72,2025-01-02,S003,Monex Badminton Rackets,Mumbai,14,Monex Badminton Rackets,Sports / Fitness,5400
73,2025-01-02,S004,Yoga Mattress,Mumbai,6,Yoga Mattress,Sports / Fitness,621
74,2025-01-02,S005,Rocky Gym Set,Mumbai,2,Rocky Gym Set,Sports / Fitness,14250
75,2025-01-02,ME001,Pyllum Trimmers,Mumbai,4,Pyllum Trimmers,Medicines/Healthcare,1740
76,2025-01-02,ME002,Softcare Electric Toothbrush,Mumbai,7,Softcare Electric Toothbrush,Medicines/Healthcare,1680
77,2025-01-02,ME003,Leg Messager,Mumbai,10,Leg Messager,Medicines/Healthcare,20900
78,2025-01-02,ME004,NoFat Weighing Scale,Mumbai,6,NoFat Weighing Scale,Medicines/Healthcare,747
79,2025-01-02,ME005,Screw Activity Watch,Mumbai,19,Screw Activity Watch,Medicines/Healthcare,1302
80,2025-01-02,K001,SureIt Purifier,Mumbai,18,SureIt Purifier,Kitchen ,4200
81,2025-01-02,K002,Parrot Induction Stove,Mumbai,27,Parrot Induction Stove,Kitchen ,2415
82,2025-01-02,K003,Jalepenoware Tiffin,Mumbai,2,Jalepenoware Tiffin,Kitchen ,424
83,2025-01-02,K004,Yamaka Rex 5000W Mixer Grinder,Mumbai,9,Yamaka Rex 5000W Mixer Grinder,Kitchen ,945
84,2025-01-02,K005,Mr.Clean Dishwasher,Mumbai,8,Mr.Clean Dishwasher,Kitchen ,16140
85,2025-01-02,H001,Blessing Atta 10kg pack,Mumbai,199,Blessing Atta 10kg pack,Household  ,459
86,2025-01-02,H002,Amazing CornFlakes,Mumbai,131,Amazing CornFlakes,Household  ,178
87,2025-01-02,H003,Tata Yellow Label,Mumbai,4,Tata Yellow Label,Household  ,677
88,2025-01-02,H004,Descafe Gold Blend coffee,Mumbai,119,Descafe Gold Blend coffee,Household  ,516
