SKU,City,Date,Units
F001,Pune,2025-01-01,20
F002,Pune,2025-01-01,22
F003,Pune,2025-01-01,26
F004,Pune,2025-01-01,25
F005,Pune,2025-01-01,17
M001,Pune,2025-01-01,23
M002,Pune,2025-01-01,20
M003,Pune,2025-01-01,26
M004,Pune,2025-01-01,26
M005,Pune,2025-01-01,34
B001,Pune,2025-01-01,71
B002,Pune,2025-01-01,38
B003,Pune,2025-01-01,47
B004,Pune,2025-01-01,19
B005,Pune,2025-01-01,44
V001,Pune,2025-01-01,53
V002,Pune,2025-01-01,59
V003,Pune,2025-01-01,56
V004,Pune,2025-01-01,59
V005,Pune,2025-01-01,70
S001,Pune,2025-01-01,27
S002,Pune,2025-01-01,25
S003,Pune,2025-01-01,22
S004,Pune,2025-01-01,19
S005,Pune,2025-01-01,27
ME001,Pune,2025-01-01,25
ME002,Pune,2025-01-01,31
ME003,Pune,2025-01-01,23
ME004,Pune,2025-01-01,29
ME005,Pune,2025-01-01,36
K001,Pune,2025-01-01,34
K002,Pune,2025-01-01,36
K003,Pune,2025-01-01,20
K004,Pune,2025-01-01,27
K005,Pune,2025-01-01,22
H001,Pune,2025-01-01,43
H002,Pune,2025-01-01,26
H003,Pune,2025-01-01,28
H004,Pune,2025-01-01,37
H005,Pune,2025-01-01,61
P001,Pune,2025-01-01,58
P002,Pune,2025-01-01,64
P003,Pune,2025-01-01,64
P004,Pune,2025-01-01,46
P005,Pune,2025-01-01,62
G001,Pune,2025-01-01,60
G002,Pune,2025-01-01,51
G003,Pune,2025-01-01,65
G004,Pune,2025-01-01,19
G005,Pune,2025-01-01,25
F001,Pune,2025-01-02,27
F002,Pune,2025-01-02,27
F003,Pune,2025-01-02,28
F004,Pune,2025-01-02,29
F005,Pune,2025-01-02,18
M001,Pune,2025-01-02,20
M002,Pune,2025-01-02,22
M003,Pune,2025-01-02,26
M004,Pune,2025-01-02,17
M005,Pune,2025-01-02,18
B001,Pune,2025-01-02,26
B002,Pune,2025-01-02,66
B003,Pune,2025-01-02,28
B004,Pune,2025-01-02,42
B005,Pune,2025-01-02,41
V001,Pune,2025-01-02,32
V002,Pune,2025-01-02,64
V003,Pune,2025-01-02,57
V004,Pune,2025-01-02,61
V005,Pune,2025-01-02,39
S001,Pune,2025-01-02,48
S002,Pune,2025-01-02,25
S003,Pune,2025-01-02,20
S004,Pune,2025-01-02,42
S005,Pune,2025-01-02,18
ME001,Pune,2025-01-02,20
ME002,Pune,2025-01-02,30
ME003,Pune,2025-01-02,35
ME004,Pune,2025-01-02,24
ME005,Pune,2025-01-02,20
K001,Pune,2025-01-02,22
K002,Pune,2025-01-02,31
K003,Pune,2025-01-02,34
K004,Pune,2025-01-02,22
K005,Pune,2025-01-02,30
H001,Pune,2025-01-02,76
H002,Pune,2025-01-02,76
H003,Pune,2025-01-02,50
H004,Pune,2025-01-02,35
H005,Pune,2025-01-02,56
P001,Pune,2025-01-02,62
P002,Pune,2025-01-02,55
P003,Pune,2025-01-02,55
P004,Pune,2025-01-02,44
